# RA = 11 04 27.31 (166.1138)
# Dec = +38 12 31.79 (38.20883)
# Redshift = 0.0
# nH = 1.92E20 cm^-2 
# BeppoSAX Spectra (Giommi et al. 2002) (id = 40)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.7720E18     2.5330E17    3.5008E-10   1.1049E-11    51664.12794    51667.09238
2.3630E18     3.3770E17    3.3330E-10   1.7788E-11    51664.12794    51667.09238
3.1510E18     4.5030E17    2.7250E-10   6.5155E-12    51664.12794    51667.09238
4.2020E18     6.0050E17    2.5949E-10   4.3988E-12    51664.12794    51667.09238
5.6030E18     8.0070E17    2.1681E-10   4.8060E-12    51664.12794    51667.09238
7.4720E18     1.0680E18    1.8493E-10   6.6665E-12    51664.12794    51667.09238
9.9630E18     1.4240E18    1.4876E-10   8.9809E-12    51664.12794    51667.09238
1.3280E19     1.8980E18    1.2882E-10   1.3506E-11    51664.12794    51667.09238
1.7710E19     2.5310E18    1.0776E-10   1.4367E-11    51664.12794    51667.09238
2.3620E19     3.3750E18    8.2101E-11   1.7311E-11    51664.12794    51667.09238
3.1500E19     4.5010E18    6.4096E-11   2.9933E-11    51664.12794    51667.09238
1.3950E17     2.0770E16    1.5591E-10   1.2914E-11    50570.17399    50570.40354
1.8830E17     2.8050E16    1.5481E-10   8.8561E-12    50570.17399    50570.40354
2.5420E17     3.7860E16    1.5303E-10   7.7722E-12    50570.17399    50570.40354
3.4320E17     5.1110E16    1.3477E-10   7.3891E-12    50570.17399    50570.40354
4.6330E17     6.9010E16    1.2883E-10   4.5005E-12    50570.17399    50570.40354
6.2550E17     9.3160E16    1.0814E-10   3.5835E-12    50570.17399    50570.40354
8.4440E17     1.2580E17    9.0174E-11   3.7904E-12    50570.17399    50570.40354
1.1400E18     1.6980E17    7.1824E-11   4.0483E-12    50570.17399    50570.40354
1.5390E18     2.2920E17    5.6287E-11   4.7670E-12    50570.17399    50570.40354
2.0780E18     3.0940E17    4.1315E-11   6.6992E-12    50570.17399    50570.40354
2.8050E18     4.1770E17    3.6840E-11   8.9195E-12    50570.17399    50570.40354
3.7870E18     5.6400E17    3.3780E-11   1.0633E-11    50570.17399    50570.40354
6.9010E18     1.0280E18    2.0808E-11   6.2865E-12    50570.17399    50570.40354
1.3950E17     2.0770E16    1.1655E-10   7.2529E-12    50567.16837    50567.61257
1.8830E17     2.8050E16    1.1313E-10   4.9025E-12    50567.16837    50567.61257
2.5420E17     3.7860E16    1.0834E-10   4.2297E-12    50567.16837    50567.61257
3.4320E17     5.1110E16    9.6747E-11   4.0543E-12    50567.16837    50567.61257
4.6330E17     6.9010E16    9.1777E-11   2.6584E-12    50567.16837    50567.61257
6.2550E17     9.3160E16    7.6166E-11   2.1022E-12    50567.16837    50567.61257
8.4440E17     1.2580E17    6.0592E-11   2.1726E-12    50567.16837    50567.61257
1.1400E18     1.6980E17    4.9873E-11   2.3638E-12    50567.16837    50567.61257
1.5390E18     2.2920E17    3.8562E-11   2.7598E-12    50567.16837    50567.61257
2.0780E18     3.0940E17    2.8525E-11   3.9075E-12    50567.16837    50567.61257
2.8050E18     4.1770E17    2.1966E-11   4.9072E-12    50567.16837    50567.61257
3.7870E18     5.6400E17    2.5031E-11   7.9813E-12    50567.16837    50567.61257
5.1120E18     7.6140E17    2.2706E-11   6.9095E-12    50567.16837    50567.61257
9.3160E18     1.3880E18    1.3612E-11   6.2337E-12    50567.16837    50567.61257
1.7730E17     2.5340E16    3.1632E-10   6.7639E-12    51662.97053    51664.12794
2.3650E17     3.3790E16    3.6192E-10   6.2239E-12    51662.97053    51664.12794
3.1530E17     4.5050E16    3.8796E-10   6.4982E-12    51662.97053    51664.12794
4.2040E17     6.0080E16    4.1319E-10   6.3689E-12    51662.97053    51664.12794
5.6060E17     8.0110E16    4.2434E-10   6.7873E-12    51662.97053    51664.12794
7.4750E17     1.0680E17    4.2017E-10   5.8598E-12    51662.97053    51664.12794
9.9680E17     1.4240E17    4.2084E-10   7.1028E-12    51662.97053    51664.12794
1.3290E18     1.8990E17    4.1855E-10   9.5972E-12    51662.97053    51664.12794
1.7720E18     2.5330E17    4.0325E-10   1.3429E-11    51662.97053    51664.12794
2.3630E18     3.3770E17    3.9344E-10   2.1803E-11    51662.97053    51664.12794
3.1510E18     4.5030E17    3.2729E-10   9.5804E-12    51662.97053    51664.12794
4.2020E18     6.0050E17    3.2451E-10   6.5995E-12    51662.97053    51664.12794
5.6030E18     8.0070E17    2.8987E-10   7.1674E-12    51662.97053    51664.12794
7.4720E18     1.0680E18    2.5194E-10   9.8673E-12    51662.97053    51664.12794
9.9630E18     1.4240E18    2.0458E-10   1.3252E-11    51662.97053    51664.12794
1.3280E19     1.8980E18    2.1145E-10   1.9742E-11    51662.97053    51664.12794
1.7710E19     2.5310E18    1.4890E-10   2.1179E-11    51662.97053    51664.12794
2.3620E19     3.3750E18    1.4286E-10   2.5463E-11    51662.97053    51664.12794
# VERITAS_2011ApJ_738_25A (id = 39)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.6490E25     0.0000E00    8.9940E-11   5.7444E-12    54466.0    54647.0
8.2210E25     0.0000E00    7.9900E-11   4.6007E-12    54466.0    54647.0
1.0160E26     0.0000E00    7.4867E-11   3.9737E-12    54466.0    54647.0
1.2550E26     0.0000E00    7.6905E-11   3.8578E-12    54466.0    54647.0
1.5520E26     0.0000E00    5.7174E-11   3.5085E-12    54466.0    54647.0
1.9170E26     0.0000E00    5.3006E-11   3.5042E-12    54466.0    54647.0
2.3700E26     0.0000E00    4.1161E-11   3.2175E-12    54466.0    54647.0
2.9310E26     0.0000E00    2.7489E-11   2.8171E-12    54466.0    54647.0
3.6220E26     0.0000E00    2.6332E-11   3.0003E-12    54466.0    54647.0
4.4760E26     0.0000E00    1.7840E-11   2.7403E-12    54466.0    54647.0
5.5320E26     0.0000E00    1.5248E-11   2.7393E-12    54466.0    54647.0
6.8380E26     0.0000E00    1.2628E-11   2.6537E-12    54466.0    54647.0
8.4530E26     0.0000E00    5.7825E-12   2.1755E-12    54466.0    54647.0
1.0450E27     0.0000E00    5.8153E-12   2.2525E-12    54466.0    54647.0
6.6490E25     0.0000E00    1.5436E-10   4.2965E-12    54466.0    54647.0
8.2210E25     0.0000E00    1.4593E-10   3.5449E-12    54466.0    54647.0
1.0160E26     0.0000E00    1.4111E-10   3.5271E-12    54466.0    54647.0
1.2550E26     0.0000E00    1.2636E-10   3.3714E-12    54466.0    54647.0
1.5520E26     0.0000E00    1.1371E-10   3.3104E-12    54466.0    54647.0
1.9170E26     0.0000E00    9.7720E-11   3.1606E-12    54466.0    54647.0
2.3700E26     0.0000E00    8.7185E-11   3.1636E-12    54466.0    54647.0
2.9310E26     0.0000E00    7.3265E-11   3.1160E-12    54466.0    54647.0
3.6220E26     0.0000E00    6.2918E-11   3.1768E-12    54466.0    54647.0
4.4760E26     0.0000E00    5.3126E-11   3.1800E-12    54466.0    54647.0
5.5320E26     0.0000E00    4.7967E-11   3.2090E-12    54466.0    54647.0
6.8380E26     0.0000E00    3.3725E-11   2.9907E-12    54466.0    54647.0
8.4530E26     0.0000E00    3.0058E-11   3.1683E-12    54466.0    54647.0
1.0450E27     0.0000E00    1.7308E-11   2.7461E-12    54466.0    54647.0
1.2920E27     0.0000E00    8.1110E-12   2.1388E-12    54466.0    54647.0
1.7750E27     0.0000E00    9.0745E-12   1.8641E-12    54466.0    54647.0
2.7120E27     0.0000E00    3.1255E-12   1.3995E-12    54466.0    54647.0
6.6490E25     0.0000E00    2.1301E-10   6.9318E-12    54466.0    54647.0
8.2210E25     0.0000E00    2.0299E-10   5.8305E-12    54466.0    54647.0
1.0160E26     0.0000E00    1.9931E-10   5.9125E-12    54466.0    54647.0
1.2550E26     0.0000E00    1.8320E-10   5.7398E-12    54466.0    54647.0
1.5520E26     0.0000E00    1.6060E-10   5.5728E-12    54466.0    54647.0
1.9170E26     0.0000E00    1.4136E-10   5.5283E-12    54466.0    54647.0
2.3700E26     0.0000E00    1.2907E-10   5.6041E-12    54466.0    54647.0
2.9310E26     0.0000E00    1.1652E-10   5.7402E-12    54466.0    54647.0
3.6220E26     0.0000E00    9.5311E-11   5.6590E-12    54466.0    54647.0
4.4760E26     0.0000E00    9.5899E-11   6.1975E-12    54466.0    54647.0
5.5320E26     0.0000E00    8.5467E-11   6.3743E-12    54466.0    54647.0
6.8380E26     0.0000E00    6.9565E-11   6.3401E-12    54466.0    54647.0
8.4530E26     0.0000E00    4.6840E-11   5.7316E-12    54466.0    54647.0
1.0450E27     0.0000E00    3.7423E-11   5.8094E-12    54466.0    54647.0
1.2920E27     0.0000E00    3.0295E-11   5.8660E-12    54466.0    54647.0
1.5970E27     0.0000E00    2.0705E-11   5.2251E-12    54466.0    54647.0
